user_id,first_name,last_name,email,phone,city,province,user_type,signup_date,is_active
1,Ava,Garcia,user1@example.com,555-00001,Toronto,ON,driver,2024-09-07,True
2,Liam,Martin,user2@example.com,555-00002,Toronto,ON,driver,2024-02-02,False
3,Noah,Smith,user3@example.com,555-00003,Vancouver,BC,driver,2025-07-28,True
4,Noah,Clark,user4@example.com,555-00004,Montreal,QC,driver,2025-08-26,True
5,Mia,Martin,user5@example.com,555-00005,Toronto,ON,driver,2024-12-14,True
6,Ethan,Patel,user6@example.com,555-00006,Vancouver,BC,driver,2024-04-04,True
7,Ethan,Garcia,user7@example.com,555-00007,Calgary,AB,driver,2024-02-14,True
8,Zoe,Patel,user8@example.com,555-00008,Toronto,ON,driver,2025-07-19,True
9,Noah,Patel,user9@example.com,555-00009,Calgary,AB,driver,2024-02-16,True
10,Liam,Wilson,user10@example.com,555-00010,Calgary,AB,driver,2024-04-13,True
11,Ethan,Brown,user11@example.com,555-00011,Montreal,QC,driver,2025-01-14,True
12,Liam,Brown,user12@example.com,555-00012,Calgary,AB,driver,2025-06-30,True
13,Lucas,Martin,user13@example.com,555-00013,Vancouver,BC,driver,2024-10-03,True
14,Ethan,Smith,user14@example.com,555-00014,Vancouver,BC,driver,2024-08-22,True
15,Zoe,Garcia,user15@example.com,555-00015,Calgary,AB,driver,2024-03-08,True
16,Noah,Clark,user16@example.com,555-00016,Calgary,AB,driver,2025-02-09,True
17,Mia,Garcia,user17@example.com,555-00017,Montreal,QC,driver,2024-05-22,True
18,Zoe,Martin,user18@example.com,555-00018,Calgary,AB,driver,2025-01-05,True
19,Lucas,Patel,user19@example.com,555-00019,Vancouver,BC,driver,2024-02-18,True
20,Mia,Martin,user20@example.com,555-00020,Vancouver,BC,driver,2025-09-02,True
21,Lucas,Garcia,user21@example.com,555-00021,Montreal,QC,driver,2025-07-20,True
22,Liam,Garcia,user22@example.com,555-00022,Toronto,ON,driver,2025-10-18,True
23,Zoe,Brown,user23@example.com,555-00023,Calgary,AB,driver,2025-04-09,False
24,Mia,Patel,user24@example.com,555-00024,Calgary,AB,driver,2025-10-02,True
25,Mia,Lee,user25@example.com,555-00025,Vancouver,BC,driver,2024-06-14,True
26,Ethan,Clark,user26@example.com,555-00026,Toronto,ON,driver,2024-01-20,True
27,Emma,Wilson,user27@example.com,555-00027,Calgary,AB,driver,2024-02-29,True
28,Liam,Clark,user28@example.com,555-00028,Toronto,ON,driver,2024-03-11,True
29,Mia,Clark,user29@example.com,555-00029,Vancouver,BC,driver,2025-07-16,True
30,Noah,Wilson,user30@example.com,555-00030,Montreal,QC,driver,2025-12-31,True
31,Lucas,Clark,user31@example.com,555-00031,Calgary,AB,driver,2024-05-03,True
32,Ethan,Smith,user32@example.com,555-00032,Toronto,ON,driver,2025-08-25,True
33,Ava,Patel,user33@example.com,555-00033,Vancouver,BC,driver,2025-12-25,True
